gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,TenureGroup,EngagementScore,churn_prob,risk_band,recommended_action,top_drivers
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,0-1yr,2,0.7629229682879938,High,Priority retention offer + contract/autopay push,Month-to-month contract; Electronic check payment; Low tenure (early lifecycle)
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0-1yr,0,0.06969695210897255,Low,No offer; monitor,Low service engagement
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,0-1yr,0,0.20356681360725581,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,4-6yr,2,0.019429443830368688,Low,No offer; monitor,No dominant driver flagged
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,4-6yr,3,0.03794666265801816,Low,No offer; monitor,Month-to-month contract
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,2-4yr,2,0.11577874761491003,Low,No offer; monitor,Month-to-month contract
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,2-4yr,3,0.4113047215144405,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,0-1yr,1,0.5192942099016973,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Electronic check payment; Low tenure (early lifecycle)
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,4-6yr,6,0.015299966423841696,Low,No offer; monitor,High monthly charges
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1-2yr,2,0.2865714549408882,Low,No offer; monitor,Month-to-month contract
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,4-6yr,4,0.03065118907365497,Low,No offer; monitor,Fiber optic internet; High monthly charges
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0-1yr,3,0.7748282207529286,High,Priority retention offer + contract/autopay push,Month-to-month contract; Fiber optic internet; Low tenure (early lifecycle)
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,2-4yr,4,0.032092806470418206,Low,No offer; monitor,No dominant driver flagged
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0-1yr,0,0.2150230665301794,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0-1yr,0,0.42988397327056715,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,4-6yr,4,0.022047902094107546,Low,No offer; monitor,Fiber optic internet; High monthly charges
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,0-1yr,0,0.6832834219863333,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; Electronic check payment
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,2-4yr,1,0.20381448490216691,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; Low service engagement
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,2-4yr,4,0.572087350819186,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; Electronic check payment
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,0-1yr,3,0.7425647072002296,High,Priority retention offer + contract/autopay push,Month-to-month contract; Fiber optic internet; High monthly charges
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0-1yr,1,0.11899384183373482,Low,No offer; monitor,Low service engagement
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,4-6yr,3,0.013429943358503843,Low,No offer; monitor,No dominant driver flagged
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,1-2yr,0,0.03436785464771482,Low,No offer; monitor,Low service engagement
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,4-6yr,5,0.01590376353538316,Low,No offer; monitor,No dominant driver flagged
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,1-2yr,4,0.2639301614470513,Low,No offer; monitor,Month-to-month contract; Electronic check payment
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,4-6yr,1,0.507058442912177,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0-1yr,1,0.31555204184964064,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,0-1yr,1,0.7619773047068014,High,Priority retention offer + contract/autopay push,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,4-6yr,4,0.03899346562014146,Low,No offer; monitor,No dominant driver flagged
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,4-6yr,3,0.008259133908401725,Low,No offer; monitor,No dominant driver flagged
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,2-4yr,2,0.46096149485219406,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; Electronic check payment
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1-2yr,4,0.42301484109853904,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; High monthly charges
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,2-4yr,3,0.23028787633588144,Low,No offer; monitor,Month-to-month contract
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,0-1yr,1,0.6591218141387871,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; High monthly charges
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,4-6yr,5,0.029601249505088443,Low,No offer; monitor,No dominant driver flagged
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1-2yr,2,0.7213704342841994,High,Priority retention offer + contract/autopay push,Month-to-month contract; Fiber optic internet; Electronic check payment
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,4-6yr,3,0.1553844017100391,Low,No offer; monitor,Fiber optic internet; High monthly charges
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,4-6yr,5,0.2141615952621994,Low,No offer; monitor,Fiber optic internet; Electronic check payment; High monthly charges
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,2-4yr,0,0.013056204522520229,Low,No offer; monitor,Low service engagement
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,4-6yr,4,0.07162665377571555,Low,No offer; monitor,Fiber optic internet; High monthly charges
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,2-4yr,3,0.4810668291568252,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,4-6yr,2,0.3065619437918969,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; High monthly charges
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,4-6yr,3,0.007485250988031481,Low,No offer; monitor,No dominant driver flagged
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,1-2yr,2,0.07386186376845813,Low,No offer; monitor,No dominant driver flagged
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,0-1yr,2,0.7452532552540131,High,Priority retention offer + contract/autopay push,Month-to-month contract; Fiber optic internet; Electronic check payment
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0-1yr,4,0.5102500708294453,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Electronic check payment; Low tenure (early lifecycle)
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,2-4yr,1,0.17049971955109955,Low,No offer; monitor,Fiber optic internet; Electronic check payment; Low service engagement
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,2-4yr,5,0.0366621719466589,Low,No offer; monitor,No dominant driver flagged
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,4-6yr,0,0.007490550264876315,Low,No offer; monitor,Low service engagement
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0-1yr,2,0.4591852076361197,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0-1yr,1,0.2863136179449298,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,4-6yr,0,0.026239886004633266,Low,No offer; monitor,Electronic check payment; Low service engagement
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,4-6yr,5,0.08091798522226344,Low,No offer; monitor,Fiber optic internet; High monthly charges
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,4-6yr,0,0.007583341878210345,Low,No offer; monitor,Low service engagement
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0-1yr,3,0.3025080534398398,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle)
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,4-6yr,5,0.24710477593950642,Low,No offer; monitor,Fiber optic internet; Electronic check payment; High monthly charges
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,2-4yr,1,0.04184733925352514,Low,No offer; monitor,Low service engagement
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0-1yr,2,0.1770218609039681,Low,No offer; monitor,Month-to-month contract
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,2-4yr,4,0.277257850379196,Low,No offer; monitor,Month-to-month contract; Electronic check payment
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,2-4yr,0,0.020919015213874716,Low,No offer; monitor,Low service engagement
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,0-1yr,1,0.7474895957684173,High,Priority retention offer + contract/autopay push,Month-to-month contract; Fiber optic internet; Electronic check payment
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0-1yr,3,0.46728862231067264,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Electronic check payment
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,0-1yr,1,0.5998194963078345,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; Low service engagement
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,2-4yr,5,0.28337296700171855,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; High monthly charges
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,4-6yr,0,0.012929763214853809,Low,No offer; monitor,Low service engagement
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0-1yr,3,0.7079947542952816,High,Priority retention offer + contract/autopay push,Month-to-month contract; Fiber optic internet; High monthly charges
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,2-4yr,2,0.0748296331989771,Low,No offer; monitor,No dominant driver flagged
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,2-4yr,0,0.004800478351426325,Low,No offer; monitor,Low service engagement
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,2-4yr,0,0.007000240721652514,Low,No offer; monitor,Low service engagement
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,2-4yr,1,0.2416025124191495,Low,No offer; monitor,Month-to-month contract; Low service engagement
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,2-4yr,2,0.23317749572514387,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; High monthly charges
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0-1yr,1,0.6198449432603163,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,4-6yr,5,0.020125268928563388,Low,No offer; monitor,High monthly charges
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,4-6yr,5,0.26343284279628987,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; High monthly charges
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,4-6yr,4,0.08905468087074978,Low,No offer; monitor,Fiber optic internet; High monthly charges
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,0-1yr,1,0.603585546187542,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,4-6yr,3,0.013686204833777449,Low,No offer; monitor,No dominant driver flagged
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,0-1yr,0,0.16944737166765,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,4-6yr,0,0.007606998735184774,Low,No offer; monitor,Low service engagement
Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,2-4yr,4,0.6496197553630001,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0-1yr,0,0.203501154076909,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0-1yr,0,0.2480803552151517,Low,No offer; monitor,Month-to-month contract; Electronic check payment; Low tenure (early lifecycle)
Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,2-4yr,3,0.1565254407797264,Low,No offer; monitor,Fiber optic internet; High monthly charges
Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,4-6yr,3,0.05039130301221914,Low,No offer; monitor,No dominant driver flagged
Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,4-6yr,5,0.08028461280551806,Low,No offer; monitor,Fiber optic internet; High monthly charges
Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,0-1yr,0,0.44782791807547023,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,4-6yr,4,0.13866278286747488,Low,No offer; monitor,Fiber optic internet; Electronic check payment; High monthly charges
Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,2-4yr,1,0.06740102706346973,Low,No offer; monitor,Low service engagement
Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,2-4yr,2,0.2002011672462761,Low,No offer; monitor,Fiber optic internet; High monthly charges
Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,4-6yr,0,0.0020307529979918366,Low,No offer; monitor,Low service engagement
Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,4-6yr,3,0.3434951637239024,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; Electronic check payment
Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,4-6yr,3,0.022261093695906786,Low,No offer; monitor,No dominant driver flagged
Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,2-4yr,3,0.33633175038566704,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; Electronic check payment
Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,2-4yr,0,0.4849831625389539,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; Electronic check payment
Female,0,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,4-6yr,4,0.036118817791808595,Low,No offer; monitor,Electronic check payment
